17.008 18.507 18.672 15.93 13.961 14.462 8.019 10.6 8.8847 7.2274 6.2511 6.0061 7.1143 6.9039 6.2443 6.945 6.9855 5.031 4.0061 6.6584
19.126 17.345 18.234 13.66 13.262 13.922 10.676 9.9167 11.025 6.4094 4.8782 5.0843 6.5321 5.1773 5.7181 4.3329 5.8867 6.4356 5.2941 6.0503
17.48 18.86 18.296 12.986 13.738 14.401 9.202 11.208 8.3499 8.5742 5.981 6.5199 6.2453 5.0066 7.172 7.1635 4.5908 5.1325 5.0524 6.8011
17.97 18.897 19.313 14.862 13.321 15.768 11.466 8.7568 12.328 7.055 3.059 2.8243 2.2451 2.9858 3.1909 2.2319 7.785 4.9555 6.3389 6.4755
18.911 18.045 16.995 14.881 15.212 13.754 8.6911 14.635 10.045 4.7893 3.1688 2.9762 2.5813 2.9683 2.3507 2.7028 3.5056 6.3335 4.7777 5.4066
15.999 18.178 16.635 13.739 13.602 14.805 15.184 12.815 14.263 10.673 3.4014 3.3428 2.9257 3.0238 3.2361 2.6949 2.6232 3.0085 6.0561 6.5184
15.927 13.242 15.206 11.213 14.456 11.631 15.134 12.835 14.004 8.9364 3.4679 3.3814 2.9236 3.4947 3.5715 3.3131 3.9369 2.715 4.5148 5.8774
19.6 14.543 14.033 13.186 15.344 14.83 14.594 15.507 14.888 8.8195 3.4633 3.3105 4.0456 2.8153 2.8529 3.1951 2.615 4.2689 3.4225 6.7451
18.476 13.433 12.347 15.741 15.344 14.83 14.594 12.875 8.8273 5.1087 4.1368 3.2677 2.8839 3.3258 3.4857 3.2112 3.0806 2.5045 3.5168 5.3489
19.665 13.117 15.528 14.131 14.131 14.83 12.875 12.875 10.392 6.3652 3.067 2.661 3.0942 2.4251 3.5019 2.4368 3.3456 2.5427 3.8515 2.8273
17.513 14.759 13.083 15.517 15.517 15.517 10.551 10.551 10.551 5.4486 3.1347 3.3698 3.0613 3.0557 3.0613 2.7351 3.0226 2.8656 2.8963 3.6134
12.281 13.476 14.604 14.496 14.496 14.496 9.7126 9.7126 9.7126 5.261 2.5406 4.1927 3.0722 3.1407 2.6258 3.2426 3.5334 2.8549 2.5826 3.2925
14.142 11.962 13.896 12.913 12.913 12.913 8.6031 8.6031 8.6031 5.6522 1.7532 1.6521 1.4932 1.7338 1.6462 1.8513 3.2896 2.6617 3.7838 3.4377
